Sentences,Sentiment
अनि ट्राफिक प्रहरीहरूको सोंच यस्तो छ कि... उनीहरू नागरिकको सुरक्षाका लागि भन्दा पनि आफ्नो कमाइका लागि बढी चिन्तित देखिन्छन् ।,1
"नियम जति कडा भयो, उनीहरूलाई उति नै बढी फाइदा हुन्छ ।",1
उति नै बढी फाइदा,1
उनीहरूलाई उति नै बढी फाइदा हुन्छ,1
ाइक पछाडि बस्नेलाई पनि हेलमेट अनिवार्य गरिदैँछ ।,1
हेलमेट अनिवार्य गरिदैँछ,1
कमाइका लागि बढी चिन्तित देखिन्छन् ।,-1
ट्राफिकको आँखा छल्नका लागि बढी प्रयोग गर्छौँ ।,-1
"हेल्मेट को बिषयमा यत्रो रोइला गाउनै पर्दैन आफ्नै सुरक्षाको लागित हो नेपाल् जस्तो धेरै बाइक एक्सिडेन्ट् हुने ठाउँमा झन ,यसमा कसैको ब्यक्तिगत स्वार्थ हुनु फरक कुरा हो तर सुरक्षा आफ्नै हुन्छ",1
हेल्मेट को बिषयमा यत्रो रोइला गाउनै पर्दैन ,1
आफ्नै सुरक्षाको लागित हो,1
नेपाल् जस्तो धेरै बाइक एक्सिडेन्ट् हुने ठाउँमा झन,0
यसमा कसैको ब्यक्तिगत स्वार्थ हुनु फरक कुरा हो,0
सुरक्षा आफ्नै हुन्छ,1
ब्यक्तिगत स्वार्थ,-1
सम्पुर्ण मुस्लिम साथी दाजुभाई तथा दिदीबहिनीहरूलाई अग्रिम ईद मुबारक,1
अग्रिम ईद मुबारक,1
मुस्लिम साथीहरूलाई शुभकामना!,1
साथीहरूलाई शुभकामना!,1
देशको राजा,0
"वाह शितल पोस्ट,साझा गर्नका लागि धन्यवाद",1
साझा गर्नका लागि धन्यवाद,1
वाह शितल पोस्ट,1
रामादान मुवारक,1
मुवारक,1
शुभकामना छ मुस्लिम समुदायलाई,1
मुस्लिम समुदायलाई,1
"कुनै भारतीय हाम्रो देशमा आएर वाड अध्यक्ष बनछ भने हामी लाई धेरै दुःख लाग्छ र हामी धेरै रिसाउँछौ पनि. तर हाम्रो देश को मान्छे बिदेस मा गएर मेयर बनयो भने हामी धेरै गर्भ गर्छौ।, यो हाम्रो के प्रबिधी हो। हुनत कुनै पनि बिदेसी नागरिक मेरो देशमा आएर वाड अध्यक्ष, मेयर, र संसद बन्छ भने मलाई पनि कदापि स्वीकार्य छैन",1
कुनै भारतीय हाम्रो देशमा आएर वाड अध्यक्ष बनछ,0
हामी लाई धेरै दुःख लाग्छ,-1
हाम्रो देश को मान्छे बिदेस मा गएर मेयर बनयो भने हामी धेरै गर्भ गर्छौ।,1
यो हाम्रो के प्रबिधी हो ?,1
"कुनै पनि बिदेसी नागरिक मेरो देशमा आएर वाड अध्यक्ष, मेयर, र संसद बन्छ भने मलाई पनि कदापि स्वीकार्य छैन।",1
"बिदेसी नागरिक मेरो देशमा आएर वाड अध्यक्ष, मेयर, र संसद बन्छ",1
के अब उ नेपाली हो । कहाँ को मतलब भएन न अब उस्लाइ राज्य ले चिन्छ । एक अमेरीकन को बिजय मा केको समाचर,-1
के अब उ नेपाली हो ?,0
कहाँ को मतलब भएन न अब उस्लाइ राज्य ले चिन्छ ।,0
एक अमेरीकन को बिजय मा केको समाचर,-1
"नेपालीले अर्कोको देशमा चुनाव लडदा सहि,अनि कुनै बिदेशीले नेपालमा आएर चुनाव लडदा गलत।",1
नेपालीले अर्कोको देशमा चुनाव लडदा सहि ?,0
अनि कुनै बिदेशीले नेपालमा आएर चुनाव लडदा गलत।,0
अर्कोको देशमा चुनाव लडदा सहि,1
जित्यो भन्दैमा नेपाली नागरिकता त्यागेर बेलायती भैसकेपछी गर्व गर्ने ठाउँ छैन ।,1
नेपाली नागरिकता त्यागेर बेलायती भैसकेपछी,0
गर्व गर्ने ठाउँ छैन,-1
ठाउँ छैन,-1
नेपाली नागरिकता,0
बाहुन बाजे ले बेलायत गएर पनि राजनीति गर्न छडेन रहेछ नि त  ल बधाई बाजे लाई,1
बाहुन बाजे,-1
बाहुन बाजे ले बेलायत गएर पनि राजनीति गर्न छडेन,-1
ाजनीति गर्न छडेन,0
बेलायत गएर,0
बाईक र्यालीमा तेल कति हाल्दिन्छ,0
भोटरलाई मासु भात छ कि छैन,0
एक भोटको कति पर्छ ?,-1
अवसवादीहरूले पनि मौका पाउँछन् अनी आउँछन् फेरि देश मा यो त्यो भन्दै।,1
अवसवादीहरूले पनि मौका पाउँछन्,1
अनी आउँछन् फेरि देश मा यो त्यो भन्दै,0
जे गर्च पर्बतेले गर्च।,1
पढायो पढायो पाठ १६ दुने ८ भन्या यही रैछ । एच.आइ.भी लागेको ब्यक्ती लाई एच.आइ.भी पीडित हैन एच.आइ.भी सङ्क्रमित भन्नु पर्छ भनेर ज्ञान नहुने ले दिएको शुभकामना ले सो ब्यक्ती मा कस्तो असार पर्ला भनेर हेक्का नि किन नराखेको होला ।,1
पढायो पढायो पाठ १६ दुने ८ भन्या यही रैछ ।,-1
एच.आइ.भी लागेको ब्यक्ती लाई एच.आइ.भी पीडित हैन एच.आइ.भी सङ्क्रमित भन्नु पर्छ भनेर ज्ञान नहुने ले दिएको शुभकामना ले सो ब्यक्ती मा कस्तो असार पर्ला भनेर हेक्का नि किन नराखेको होला ।,1
ब्यक्ती मा कस्तो असार पर्ला भनेर हेक्का नि किन नराखेको होला ।,0
सरकारी टोली सगरमाथा शिखरमा पुगेर उपकरण फिट गर्दैमा तत्कालै उचाइ पत्ता लाग्ने भने होइन । सबै प्रक्रिया टुंग्याएर डाटा प्रोसेसिङ गरि उचाइ निकाल्न अझै कम्तीमा ६ महिना लाग्ने महानिर्देशक जोशीले बताए । जमिनमा गर्ने सर्बेको काम अझै एक दुई महिना लाग्ने उनले बताए । तर सिजनकै बेला सगरमाथा आरोहण गर्नुपर्ने भएकाले शिखरको मापनको काम सकिएको हो ।,1
सरकारी टोली सगरमाथा शिखरमा पुगेर उपकरण फिट गर्दैमा तत्कालै उचाइ पत्ता लाग्ने भने होइन ,1
सबै प्रक्रिया टुंग्याएर डाटा प्रोसेसिङ गरि उचाइ निकाल्न अझै कम्तीमा ६ महिना लाग्ने महानिर्देशक जोशीले बताए ।,0
तर सिजनकै बेला सगरमाथा आरोहण गर्नुपर्ने भएकाले शिखरको मापनको काम सकिएको हो ।,0
शिखरको मापनको काम सकिएको हो ,0
हुदैन बिहान मिर्मिरे मा तारा झरेर नगए,0
मिर्मिरे मा तारा झरेर नगए,0
मुश्किल घडी कसैलाई नदिनु,1
घडी कसैलाई नदिनु,0
यस्तो राम्रो मान्छे को यस्तो राम्रो फोटो,1
यस्तो राम्रो फोटो,1
यस्तो राम्रो मान्छे,1
सानैदेखि धेरै फोटो देखियो तर तपाइको जस्तो फोटो अहिले सम्म देखेको थिइन,0
सानैदेखि धेरै फोटो देखियो,0
तपाइको जस्तो फोटो अहिले सम्म देखेको थिइन,0
मेकअप त भ्रम मात्रै हो,0
भ्रम मात्रै हो,0
यो हो निस्वार्थ समाजसेवा भनेको सार्है राम्रो काम,1
निस्वार्थ समाजसेवा,1
सार्है राम्रो काम,1
गर्ने ले सिधेइ गर्छन् क्यामेरा तेर्साएर गर्दैनन्,1
गर्ने ले सिधेइ गर्छन्,1
क्यामेरा तेर्साएर गर्दैनन्,1
एकदमै महान कार्य धन्य छ तिमी लाई,1
एकदमै महान कार्य,1
धन्य छ तिमी लाई,1
यो सरकारको बिरोध गरेको हैन सरकारलाई सुझाब हो,0
यो सरकारको बिरोध गरेको हैन,1
सरकारलाई सुझाब हो,1
सबै यसरी नै पालै पालो सफा गरे सफा हुन्छ सहर,1
सफा गरे सफा हुन्छ सहर,1
सम्मान गरेछम् हामी यिनको कामलाई,1
सम्मान गरेछम्,1
राम्रो गरेकोमा सम्मान छ,1
सम्मान छ,1
सानै उमेरबाट केहि गर्न चाहन्छु म,0
केहि गर्न चाहन्छु म,1
 सशस्त्र द्वन्द्वकालमा बरु सुरक्षित काठमाडौँ!!  दुई तिहाइ बहुमत प्राप्त सरकार को पालोमा असुरक्षित महसुस हुँदैछ,-1
सशस्त्र द्वन्द्वकालमा बरु सुरक्षित काठमाडौँ!!,1
दुई तिहाइ बहुमत प्राप्त सरकार को पालोमा असुरक्षित महसुस हुँदैछ,-1
असुरक्षित महसुस हुँदैछ,-1
"अहिले मोबाइलको विभिन्न गेमले लोभलाग्दो बाल्यकाल बिताएका छन् नयाँ पुस्ताले ,,,",1
अहिले मोबाइलको विभिन्न गेमले लोभलाग्दो बाल्यकाल बिताएका छन्,1
"नयाँ पुस्ताले ,,,",1
गलत सिक्का मा होइन डुङ्गा को ड्याक मा एक पट्टि थुकेर थुक भिजाएर अर्को पट्टि सुक्खा राखेर थुक कि सुख भनेर टस गरिन्थ्यो,0
थुक कि सुख भनेर टस गरिन्थ्यो,0
गलत सिक्का मा होइन डुङ्गा को ड्याक मा,0
आफू कर्तव्यबाट चुक्ने अनि जाबो नाथे गेमलाइ दोष दिने होइन,-1
आफू कर्तव्यबाट चुक्ने,0
अनि जाबो नाथे गेमलाइ दोष दिने होइन,-1
जजसका छोराछोरी बिग्रे तिनलाई सुधारे हुन्छ,-1
छोराछोरी बिग्रे,-1
तिनलाई सुधारे हुन्छ,-1
यसरी चिच्याउनुको कुनै अर्थ छैन,-1
चिच्याउनुको कुनै अर्थ छैन,-1
अर्थ छैन,0
"जनैपूणिर्मा,विभिन्न लोसार कृशमस डेको दिन पनि बिदा दिनु पर्यो मेरो सरकार धार्मिक रुपले स्वतन्त्र मुलुकमा सबै धर्मलाइ कदर गरिनु पर्छ मुस्लिमको इद र हिन्दुको दशै तिहारमात्र होइन",1
"जनैपूणिर्मा,विभिन्न लोसार कृशमस डेको दिन पनि बिदा दिनु पर्यो",1
मेरो सरकार धार्मिक रुपले स्वतन्त्र मुलुकमा सबै धर्मलाइ कदर गरिनु पर्छ,1
बै धर्मलाइ कदर गरिनु पर्छ,1
मुस्लिमको इद र हिन्दुको दशै तिहारमात्र होइन,1
नेपालको तेस्रो ठुलो जनसङ्ख्या भयको समुदायलाई बर्सभरीमा दुई दीन बिदा दीन मुस्लिम समुदायले सरकारसँग ठुलो सङ्घर्ष गर्नुपर्यो यसकारण नेपाल सरकारलाई धन्यबाद दीन चाहान्न।,1
नेपालको तेस्रो ठुलो जनसङ्ख्या भयको समुदायलाई बर्सभरीमा दुई दीन बिदा दीन मुस्लिम समुदायले सरकारसँग ठुलो सङ्घर्ष गर्नुपर्यो,1
यसकारण नेपाल सरकारलाई धन्यबाद दीन चाहान्न।,1
काधमा भारी बुवाको जिम्मेवारी,0
बुवाको जिम्मेवारी,0
हार्दिक धन्यवाद,1
हार्दिक धन्यवाद केशव सर र साहित्य संसारलाई,1
धन्यवाद केशव सर,1
नेपाल मा कुनै पनि सामन राम्रो छैन,-1
यो घडी नकिननुहोस् यो घडी पैसाको बर्बाद हो किनेकाे केहि दिनमै घडीको रंग हराउन सुरु हुन्छ,-1
यो घडी नकिननुहोस् यो घडी पैसाको बर्बाद हो,-1
यो घडी पैसाको बर्बाद हो,-1
सामान किन्ने काम गल्तीले पनि नगर्नुहोला,-1
किन्ने काम गल्तीले पनि नगर्नुहोला,-1
गल्तीले पनि नगर्नुहोला,0
यहाँको उत्पादहरूसँग सन्तुष्टि हुदैन यो एकदम घटिया र झुटो रहेछ भन्नसक्छु,-1
एकदम घटिया र झुटो रहेछ भन्नसक्छु,0
वृद्ध प्रयोगकर्ताहरूको लागि सजिलो छैन,-1
प्रयोगकर्ताहरूको लागि सजिलो छैन,-1
सजिलो छैन,-1
"शिक्षा, स्वास्थ्य र कृषि प्राथमिकतामै परेनन्",-1
कृषि प्राथमिकतामै परेनन्,-1
"सबैभन्दा नराम्रो किनमेल अनुभव, मैले गरेको छु",-1
मैले गरेको छु,0
सबैभन्दा नराम्रो किनमेल अनुभव,-1
"पुरै ठग्ने काम गर्छ, अडर कुनै चिजको र डेलिभरी अरु नै गर्दो रहेछ मेरो रू १८००० ठगो",-1
पुरै ठग्ने काम गर्छ,-1
अडर कुनै चिजको र डेलिभरी अरु नै गर्दो रहेछ मेरो रू १८००० ठगो,-1
दुब्लीकेट सामान हो यो,-1
दुब्लीकेट सामान,-1
यो उत्पादन बाट आज  सम्म निराश छैन,1
आज  सम्म निराश छैन,1
सुमार्गीको जग्गा कब्जाको दाबी,-1
जग्गा कब्जाको दाबी,-1
रक्षा परिषद्सम्बन्धी विधेयक हुबहु पास हुन नदिने,-1
विधेयक हुबहु पास हुन नदिने,-1
कांग्रेस नेता सिटौला ह्याम्स अस्पतालको आईसीयूमा,0
अस्पतालको आईसीयूमा,0
कांग्रेस नेता सिटौला,0
नेपाली विद्यार्थीको विदेश पीडा,-1
विद्यार्थीको विदेश पीडा,-1
विदेश पीडा,-1
पीडा,-1
छ्या कस्तो नराम्रो,-1
छ्या,-1
कस्तो नराम्रो,-1
म तपाईँलाई घृणा गर्छु।,-1
घृणा गर्छु,-1
घृणा,-1
 सबैलाई थाहा छ कि तपाईले आफ्नो चार्जर फिर्ता लिनु भएको छ,0
तपाईले आफ्नो चार्जर फिर्ता लिनु भएको छ,0
फिर्ता लिनु भएको छ,0
किनिएको समानहरुमा निकै नै खराबी देखियो र निकै चाडै बिग्रियो,-1
किनिएको समानहरुमा निकै नै खराबी देखियो,-1
िकै चाडै बिग्रियो,-1
देलिवर गर्न अलि ढिलो भयो।,-1
अलि ढिलो भयो।,-1
देलिवर,-1
सब्जीको मूल्य उच्च हो,0
मूल्य उच्च हो,0
म दुखि छु,-1
दुखि,-1
खेल खेल्दै मेरो आँखालाई चोट पुर्याउँछ,0
आँखालाई चोट पुर्याउँछ,-1
चोट पुर्याउँछ,-1
चोट,-1
ई मीडियाले समाजमा गलत असर गर्दैछ,-1
समाजमा गलत असर गर्दैछ,-1
असर गर्दैछ,-1
यो समान किनेनौ भने म लस्तै रिसौछुनि,-1
यो समान किनेनौ भने,0
यो पेज खोल्ने मान्छे देखेर लास्टै रिसाउछु  म,-1
यो पेज खोल्ने मान्छे,-1
काठमान्डौ पुरै उठुन्जेल नि सकिन्न धुलो पिच कहाँ छ र धुलो सकिन जति उठायो उति आउछ,-1
धुलो सकिन जति उठायो उति आउछ,-1
काठमान्डौ पुरै उठुन्जेल नि सकिन्न धुलो पिच कहाँ छ,-1
काठमान्डौ पुरै उठुन्जेल नि सकिन्न,-1
सफा हुन्न,-1
येहा बाटो नै थर्ड क्लासको हुछ,-1
र्ड क्लासको हुछ,-1
पिहिले राम्रो बाटो निर्माण गर्नु अनि प्राविधि उपयोग गर्दा राम्रो,1
पिहिले राम्रो बाटो निर्माण गर्नु,1
अनि प्राविधि उपयोग गर्दा राम्रो,1
खुरु खुरु बाटो गतिलो बनाउनु नि,-1
ब्रोमरको मात्र काम छैन,-1
दराजमा डिग्री पिएच डी काे सर्टिफिकेट छ तर व्यबहारमा राक्षस छ,-1
व्यबहारमा राक्षस छ,-1
दराजमा डिग्री पिएच डी काे सर्टिफिकेट छ,1
म ट्युसन क्लास पढेर म्याजिकमा घर फर्कदै थिए,0
म्याजिकमा घर फर्कदै थिए,0
म ट्युसन क्लास पढेर,0
मलाई झिझाे लाग्यो उहाँ बाेलेकाे देख्दा,-1
उहाँ बाेलेकाे देख्दा,0
मलाई झिझाे लाग्यो,1
"छाेराहरु चिल्ला गाडी चढ्न थाले बजारमा ठुला ठुला महल थप्दै गए, तर संसार देखाईदिने र सम्पत्ति जाेडिदिने अामा अाज वृद्ध अाश्रममा मृयुलाई पर्खिरहेकी छन्",-1
छाेराहरु चिल्ला गाडी चढ्न थाले,1
बजारमा ठुला ठुला महल थप्दै गए,1
संसार देखाईदिने र सम्पत्ति जाेडिदिने अामा अाज वृद्ध अाश्रममा मृयुलाई पर्खिरहेकी छन्,-1
वृद्ध अाश्रममा मृयुलाई पर्खिरहेकी छन्,-1
लौन यो हाम्रो बेसिसहर देखो -चामे मनाङ सम्म एउटा पानी हाल्ने ट्याङकर मिलाउन पर्यो है,0
एउटा पानी हाल्ने ट्याङकर मिलाउन पर्यो है,0
जस्तो पोस्टमा पनि मजाक यार सब का सब पागल को दर्जा दिन लायक छन,-1
सब का सब पागल को दर्जा दिन लायक छन,-1
जस्तो पोस्टमा पनि मजाक यार,-1
"राडाबानहरु देश लुटेर रित्तिन लागिसक्यो तिनिहरुलाई केही गर्न सक्दैन  पैसा कमाएर आफ्नो परिवार पाल्छु भन्नेलाई गरिखान दिदैन्,0
थुक्क लाजनभएको कुलङ्घार सरकार",-1
राडाबानहरु देश लुटेर रित्तिन लागिसक्यो,-1
तिनिहरुलाई केही गर्न सक्दैन  पैसा कमाएर आफ्नो परिवार पाल्छु भन्नेलाई गरिखान दिदैन्,-1
रखार तेसैले अब यो पानीपुरिको भाडो जस्ले उठायेको थियो त्यो अपराधिलाई तेहि पानीपुरी को झोल ले आची गर्न लगाएर चाक धुन लगाउनु पर्छ,-1
त्यो अपराधिलाई तेहि पानीपुरी को झोल ले आची गर्न लगाएर चाक धुन लगाउनु पर्छ,-1
यो पानीपुरिको भाडो जस्ले उठायेको थियो,0
धिकार छ नेपाल कसरी बनोस देश,-1
नेपाल कसरी बनोस देश,-1
भाग्न अल्छी गरियो अहिले जिन्दगिले खेद्दै छ,-1
नजिककाे तीर्थ लाई हेला गर्ने बानी नेपालीको कहिले गएन,0
नजिककाे तीर्थ लाई हेला,-1
हेला गर्ने बानी नेपालीको कहिले गएन,-1
एउटा धोती ले दस जना नेपाली ठ्ग्छ भन्थे हजुरबा ले साच्चै रैछ क्या,-1
उटा धोती ले दस जना नेपाली ठ्ग्छ,-1
के तपाईं घर बनाउदै हुनुहुन्छ ?,0
घर बनाउदै हुनुहुन्छ ?,0
जिउदो नेपाली लाई ठ्ग्छ भन्थे हो रैछ,0
यो लोकेन्द्र बाहादुर चन्दलाइ किन सुरक्षा चाहियो र देश भरि गरेर १०० जना कार्यकर्ता नहुने पाटिको नेतालाई कसले के गर्छ र,0
यो लोकेन्द्र बाहादुर चन्दलाइ किन सुरक्षा चाहियो,0
देश भरि गरेर १०० जना कार्यकर्ता नहुने पाटिको नेतालाई कसले के गर्छ र,0
यहाँ जिन्दगी नै धरापमा रैछ हाम्रो नेपालमा,-1
यहाँ जिन्दगी नै धरापमा रैछ,-1
त्यो हेर्नुस कति राम्रो दाइ,-1
लोकेन्द्र बहादुरलाई बेईजत गराउने कामगर्न खोजेजस्तो छन नि उनले,-1
लोकेन्द्र बहादुरलाई बेईजत गराउने,-1
१४ १५ बर्ष पहिलेका प्रम लाई अहिले सम्म सुरक्षा अनि तिनको सुरक्षाकर्मीको घमन्ड । देशको यो हाल देख्दा दया लाग्नि भैसक्यो,0
१४ १५ बर्ष पहिलेका प्रम लाई अहिले सम्म सुरक्षा अनि तिनको सुरक्षाकर्मीको घमन्ड,-1
देशको यो हाल देख्दा दया लाग्नि भैसक्यो ,0
आज देश र जनताको सुरक्षा दिने सरकारी कर्मचारी जनताको कर बाट परिवार पाल्ने ले अर्को नागरिक लाई लडाएर हिँड्यो रोकेर उपचार को लागी सहयोग सम्म गरेन,-1
लडाएर हिँड्यो रोकेर उपचार को लागी सहयोग सम्म गरेन,-1
उपचार को लागी सहयोग सम्म गरेन,-1
सर्बसाधरण जनतामाथि यस्तो ज्यादती गर्ने नकचरा नकचरीहरुलाई टँडिखेलमा राखेर कंचटमा हानेर कसैले त उँडाइदिए त टन्टै साफ यार,-1
सर्बसाधरण जनतामाथि यस्तो ज्यादती गर्ने नकचरा,-1
टँडिखेलमा राखेर कंचटमा हानेर कसैले त उँडाइदिए त टन्टै साफ यार,-1
आफ्नै बाउ को बिर्ता जतिकै गरेर बाटबाटो मान्छे ठोक्दै हिड्ने यी सरकारी भरौटे हरु ले के सम्झिन्छन् हौं मान्छे को शरीर लाई किरा फटयांग्रा जतिको पनि गन्दैन्न त,-1
आफ्नै बाउ को बिर्ता जतिकै गरेर बाटबाटो मान्छे ठोक्दै हिड्ने,-1
यी सरकारी भरौटे हरु ले के सम्झिन्छन्,-1
मान्छे को शरीर लाई किरा फटयांग्रा जतिको पनि गन्दैन्न त,-1
मुजि बर्दी लाए भन्दै मा मनपरी गर्दै हिड्ने,-1
मुजि बर्दी लाए भन्दै मा मनपरी,-1
चि*ने,-1
चार जना साक्षी राखेर त्यो गाडी सहित ड्राइभरलाई जलाईदेउ बाकी हेरौला,-1
चार जना साक्षी राखेर त्यो गाडी सहित ड्राइभरलाई जलाईदेउ,-1
त्यो गाडी सहित ड्राइभरलाई जलाईदेउ,-1
येस्तै येस्तै कारण हो बिप्लब हरु को जन्म हुने येस्ता पातकी लाई ठाउँ को ठाउँ कार्वाही गर बिप्लव दाजै,-1
येस्तै येस्तै कारण हो बिप्लब हरु को जन्म हुने,-1
येस्ता पातकी लाई ठाउँ को ठाउँ कार्वाही गर बिप्लव दाजै,1
जन्ता लाई सुरक्षा दिने काम हो,0
उल्टै जनता लाई कुल्चेर हिन्छन दानव हरु,0
कता गएछन विप्लवको टिम यस्तो कुकुर पुलिस फोर्सको गाडिमा किन बम पड्किदैन,-1
कता गएछन विप्लवको टिम,0
यस्तो कुकुर पुलिस फोर्सको गाडिमा किन बम पड्किदैन,-1
गाडिमा किन बम पड्किदैन,-1
यस्ता भातमारा पुलिसले त जनतालाई हेप्छ अनि नेताहरुले यत्रो नहेपोस,-1
यस्ता भातमारा पुलिसले त जनतालाई हेप्छ,-1
पुलिसले त जनतालाई हेप्छ,-1
अनि नेताहरुले यत्रो नहेपोस,0
या आयेर जति सुकै देशभक्ति देखाएपनी सरकारलाई घन्टा फराक पर्ने वाला छैन,-1
सरकारलाई घन्टा फराक पर्ने वाला छैन,-1
देशभक्ति,-1
तेसको बाउहरुले बनाईदेको बाटो होला तेही भएर तेसरी आखँइ नहेरी चलाको होला साला डन्ठेहरु,-1
तेसको बाउहरुले बनाईदेको बाटो होला,-1
तेही भएर तेसरी आखँइ नहेरी चलाको होला साला डन्ठेहरु,-1
थुईइक तिमीहरुको कुहिएको बुद्दी,-1
कुहिएको बुद्दी,-1
थुईइक,-1
बिल्गेट्स लाई राजेश दाई ले दान मा पैसा दिएर त्यो संसार को धनी मान्छे भएको भन्ने सुनेको थिए,0
िल्गेट्स लाई राजेश दाई ले दान मा पैसा दिएर,0
"त्यो संसार को धनी मान्छे भएको भन्ने सुनेको थिए"",2

बिचरा केपी लाई दाईले एकदिन गुट्खा खाने पैसा दिनु भएछ""",-1
एकदिन गुट्खा खाने पैसा दिनु भएछ,0
बिचरा केपी,0
बर्सौ देखि भारत बाट आएर टिन फलाम सफा गर्नी को मतलव छैन गोराले गरेसी हाल्छ्स रुटिने,-1
बर्सौ देखि भारत बाट आएर टिन फलाम सफा गर्नी को मतलव छैन,-1
"अरे रुटिने खोसे जस्तो देखियो है, अर्को फोटो राख यार",0
अरे रुटिने खोसे जस्तो देखियो है,0
अर्को फोटो राख यार,0
बिदेशमा नेपाल को सरसफाइ को लागि भन्दै डोनेसन उठाएर यहा फोटो खिचेर घुम्छ्न जोले केहि बिदेशिहरु रुटिनेलाई यतिकै पोस्ट गर्ने हतार हुन्छ,-1
बिदेशमा नेपाल को सरसफाइ को लागि भन्दै डोनेसन उठाएर यहा फोटो खिचेर घुम्छ्न,-1
जोले केहि बिदेशिहरु,-1
रुटिनेलाई यतिकै पोस्ट गर्ने हतार हुन्छ,-1
विदेशी पनि कहाँको लाटो छ  फोटो खिच्यो रिपोर्ट पठायो अनि टन्न डलर पचायो,-1
विदेशी पनि कहाँको लाटो छ,-1
फोटो खिच्यो रिपोर्ट पठायो अनि टन्न डलर पचायो,-1
एउटा बच्चो बनाउन नसक्नेले देश बनाउछु भनि लागेको छ साला,-1
देश बनाउछु भनि लागेको छ,1
सबका सब रोगि अचेत सुड्डोहरु ओखतीमूलो को भरमा उभ्भिएका ल्याङ्ते बुडाहरु देस बनाउन लागेका छन,-1
सबका सब रोगि अचेत सुड्डोहरु,-1
ओखतीमूलो को भरमा उभ्भिएका ल्याङ्ते बुडाहरु,-1
देस बनाउन लागेका छन,1
आज पाल्तु प्रहरीले दुई युवालाई रास्ट्रपती र प्रधानमन्त्रीको जोक बनाएको अभियोगमा पक्रिएको सुन्दै गर्दा गणतन्त्र त्यही दिन आउँछ जस्तो लाग्दैछ जुन दिन केपि वली मर्नेछ,-1
आज पाल्तु प्रहरीले दुई युवालाई रास्ट्रपती र प्रधानमन्त्रीको जोक बनाएको अभियोगमा पक्रिएको,1
गणतन्त्र त्यही दिन आउँछ जस्तो लाग्दैछ जुन दिन केपि वली मर्नेछ,-1
गणतन्त्र त्यही दिन आउँछ जस्तो लाग्दैछ,0
होस गर आफै बन्द होलास,-1
सरकार सक्छस भने बलत्कारिलाई समातेर देखा  बिचरा तीन लाई किन समातछस,1
सरकार सक्छस भने बलत्कारिलाई समातेर देखा,1
बिचरा तीन लाई किन समातछस,1
झन्डै  गु झर्ने गरि हान्यो डन्ठे ले,-1
हान्यो डन्ठे ले,-1
गफ लगाउछस,-1
यो पनि ति नै काम चोर त हुन् नि,-1
काम चोर त हुन् नि,-1
जनताको मुख टाल्ने काम मात्र हो यो देखावोटि,-1
जनताको मुख टाल्ने काम मात्र हो,-1
यो देखावोटि,0
"बरु दुइ दिनको घुस देउन, दुइ दिनको तलब त थोरै भयो",-1
बरु दुइ दिनको घुस देउन,-1
दुइ दिनको तलब त थोरै भयो,0
बरु २ प्लेट मम खानेहो तर पैसा दान नदिने हो,-1
बरु २ प्लेट मम खानेहो,0
पैसा दान नदिने हो,-1
भुत्रोको सहयोग गर्नु,-1
के पी बाको र बिद्या देवीको जोडी राम्रो छैन,-1
जोडी राम्रो छैन,-1
देश को लुटेरा हरुको बिल्ला हानेको ठिक छ,-1
बिल्ला हानेको ठिक छ,-1
थुक्क मुजी आफुले जाबो फेसबूकमा बिल्ला भाको देख्न सक्दैनस,-1
फेसबूकमा बिल्ला भाको देख्न सक्दैनस,0
विद्याको अगाडी हेरो हुन तेस्तो नाटक गरेको हो,-1
तेस्तो नाटक गरेको हो,0
सबै स्वार्थ मै चलेको हुन्छन,-1
यत्रो हुन्छ समृध्द राष्ट,-1
समृध्द राष्ट,1
मोैलिक अधिकार माथि हनन हुन्छ,-1
जब सम्म नातावाद  कृपावाद  नेतावाद पुजिवाद इत्यादिको बिगबिगी हुन्छ तबसम्म न्याय क्षेत्रमा केही आशा नगरे हुन्छ,1
न्याय क्षेत्रमा केही आशा नगरे हुन्छ,1
सुसासनयुक्त अनि मर्यादित बनाउनु,1
मर्यादित बनाउनु,1
विडम्वना जे नहून पर्ने हो त्यो नै हून्छ यहा,0
विडम्वना जे नहून पर्ने हो,-1
त्यो नै हून्छ यहा,0
राजनितिक दवाव र नातावाद भष्टाचारी,-1
राजनितिक दवाव,-1
नातावाद भष्टाचारी,-1
नेपालमा न्याय नै पाउन निकै गाह्रो छ जस्तो लाग्छ,0
नेपालमा न्याय नै पाउन निकै गाह्रो छ,-1
न्यायको विपरित हुने काम गरेकै देखिन्छ,-1
विपरित हुने काम गरेकै देखिन्छ,-1
झोले कार्यकर्ताहरु,-1
अरु कुरा सबै गफ हुन,0
"चाकडी, दलाली र भष्टाचारी",-1
बिचरा,0
पिडितहरु अहिले गाँस बाँस कपास विहिन भएका छन्,-1
गाँस बाँस कपास विहिन भएका छन्,-1
यस्तो काम मन पर्दैन,-1
उनिहरुले तराईका रैथाने नेपालीलाई कहिल्यै राम्रो होस् भन्ने चाहदैन ,-1
कहिल्यै राम्रो होस् भन्ने चाहदैन,-1
नेपाली बीर गोर्खाली भन्ने त इतिहासमा पढ्न मात्र पाइन्छ देख्न त कहिल्यै पाइएन,-1
नेपाली बीर गोर्खाली भन्ने त इतिहासमा पढ्न मात्र पाइन्छ,-1
